name,description,price,stock,imageUrl
Fresh Red Apples,Crisp and sweet farm fresh red apples (1kg),150.00,100,https://images.unsplash.com/photo-1560806887-1e4cd0b6fac6?auto=format&fit=crop&w=400&q=80
Organic Bananas,A bunch of healthy organic yellow bananas,60.00,150,https://images.unsplash.com/photo-1571501679680-de32f1e7aad4?auto=format&fit=crop&w=400&q=80
Farm Fresh Milk,1 Liter full cream fresh cow milk,75.00,50,https://images.unsplash.com/photo-1550583724-b2692b85b150?auto=format&fit=crop&w=400&q=80
Fresh Carrots,Crunchy orange carrots directly from the farm (1kg),40.00,80,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?auto=format&fit=crop&w=400&q=80
Whole Wheat Bread,Freshly baked healthy whole wheat bread loaf,45.00,30,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=400&q=80
Farm Eggs (12 pack),Dozen fresh free-range chicken eggs,90.00,40,https://images.unsplash.com/photo-1506976785307-8732e854ad03?auto=format&fit=crop&w=400&q=80
Fresh Tomatoes,Juicy red tomatoes perfect for salads and cooking (1kg),50.00,90,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?auto=format&fit=crop&w=400&q=80
Potatoes,Freshly harvested farm potatoes (1kg),35.00,120,https://images.unsplash.com/photo-1518977676601-b53f82aba655?auto=format&fit=crop&w=400&q=80
Onions,Fresh red onions essential for every kitchen (1kg),45.00,110,https://images.unsplash.com/photo-1618512496248-a07fe83aa8cb?auto=format&fit=crop&w=400&q=80
Premium Rice,High quality aromatic basmati rice (5kg),450.00,25,https://images.unsplash.com/photo-1586201375761-83865001e8ac?auto=format&fit=crop&w=400&q=80
