name,description,price,stock,imageUrl
The Great Gatsby,Classic American novel by F. Scott Fitzgerald,12.99,45,https://loremflickr.com/400/400/novel?lock=401
Modern Encyclopedia,Comprehensive modern encyclopedia set,150.00,10,https://loremflickr.com/400/400/encyclopedia?lock=402
Leather Bound Journal,Premium leather bound unlined journal,24.50,60,https://loremflickr.com/400/400/journal?lock=403
Sci-Fi Comic Book,Action-packed science fiction comic issue #1,5.99,100,https://loremflickr.com/400/400/comicbook?lock=404
Cooking Masterclass,Step-by-step masterclass cookbook for beginners,35.00,30,https://loremflickr.com/400/400/cookbook?lock=405
English Dictionary,Complete English language dictionary,20.00,50,https://loremflickr.com/400/400/dictionary?lock=406
Monthly Magazine,Latest issue of popular lifestyle magazine,6.50,120,https://loremflickr.com/400/400/magazine?lock=407
Daily Planner 2024,Organize your year with this daily planner,18.99,80,https://loremflickr.com/400/400/planner?lock=408
Physics Textbook,University level physics textbook,85.00,25,https://loremflickr.com/400/400/textbook?lock=409
Mystery Thriller,Bestselling mystery thriller novel,14.50,55,https://loremflickr.com/400/400/mysterybook?lock=410
