name,description,price,stock,imageUrl
Pro Laptop 15",High performance laptop with 16GB RAM and 512GB SSD,1299.99,50,https://loremflickr.com/400/400/laptop?lock=101
Smartphone X,Latest 5G smartphone with incredible camera,899.00,100,https://loremflickr.com/400/400/smartphone?lock=102
Wireless Headphones,Noise-cancelling over-ear wireless headphones,249.50,75,https://loremflickr.com/400/400/headphones?lock=103
Smartwatch Series 5,Fitness tracking and notifications on your wrist,199.99,120,https://loremflickr.com/400/400/smartwatch?lock=104
10" Tablet,Lightweight tablet perfect for reading and media,349.00,60,https://loremflickr.com/400/400/tablet?lock=105
4K Action Camera,Waterproof action camera with 4K recording,159.00,45,https://loremflickr.com/400/400/camera?lock=106
Mechanical Keyboard,RGB mechanical gaming keyboard,89.99,80,https://loremflickr.com/400/400/keyboard?lock=107
Wireless Mouse,Ergonomic wireless mouse with fast scrolling,39.99,150,https://loremflickr.com/400/400/mouse?lock=108
27" 4K Monitor,Ultra HD monitor for creative professionals,450.00,30,https://loremflickr.com/400/400/monitor?lock=109
Bluetooth Speaker,Portable waterproof bluetooth speaker,59.99,200,https://loremflickr.com/400/400/speaker?lock=110
