name,description,price,stock,imageUrl
Classic White T-Shirt,Premium cotton white t-shirt for everyday wear,19.99,200,https://loremflickr.com/400/400/tshirt?lock=201
Blue Denim Jeans,Comfortable fit classic blue denim jeans,49.99,150,https://loremflickr.com/400/400/jeans?lock=202
Summer Floral Dress,Lightweight floral dress perfect for summer,39.50,80,https://loremflickr.com/400/400/dress?lock=203
Leather Jacket,Genuine black leather motorcycle jacket,199.00,40,https://loremflickr.com/400/400/leatherjacket?lock=204
Running Sneakers,Breathable and lightweight running shoes,79.99,100,https://loremflickr.com/400/400/sneakers?lock=205
Vintage Baseball Cap,Adjustable vintage style baseball cap,15.00,300,https://loremflickr.com/400/400/hat?lock=206
Aviator Sunglasses,Polarized aviator sunglasses with UV protection,25.99,120,https://loremflickr.com/400/400/sunglasses?lock=207
Canvas Backpack,Durable canvas backpack for school or travel,45.00,90,https://loremflickr.com/400/400/backpack?lock=208
Minimalist Watch,Sleek and elegant minimalist wrist watch,89.00,60,https://loremflickr.com/400/400/wristwatch?lock=209
Wool Scarf,Warm and cozy winter wool scarf,22.50,110,https://loremflickr.com/400/400/scarf?lock=210
