name,description,price,stock,imageUrl
Chocolate Cake,Rich and moist chocolate layer cake,25.00,10,https://loremflickr.com/400/400/chocolatecake?lock=301
Butter Croissant,Flaky and buttery freshly baked croissant,3.50,50,https://loremflickr.com/400/400/croissant?lock=302
Vanilla Cupcake,Sweet vanilla cupcake with buttercream frosting,4.00,60,https://loremflickr.com/400/400/cupcake?lock=303
Sourdough Loaf,Artisan sourdough bread loaf baked daily,6.50,20,https://loremflickr.com/400/400/sourdough?lock=304
Blueberry Muffin,Soft muffin loaded with fresh blueberries,3.75,40,https://loremflickr.com/400/400/muffin?lock=305
Glazed Donut,Classic sweet glazed yeast donut,2.00,100,https://loremflickr.com/400/400/donut?lock=306
Chocolate Chip Cookie,Giant chewy chocolate chip cookie,2.50,80,https://loremflickr.com/400/400/cookie?lock=307
Fruit Tart,Fresh fruit tart with custard filling,5.00,15,https://loremflickr.com/400/400/tart?lock=308
Apple Pie,Traditional homemade apple pie,18.00,12,https://loremflickr.com/400/400/applepie?lock=309
Cinnamon Roll,Warm cinnamon roll with cream cheese icing,4.50,30,https://loremflickr.com/400/400/cinnamonroll?lock=310
