name,description,price,stock,imageUrl
Adjustable Dumbbells,Set of adjustable weight dumbbells up to 50lbs,120.00,20,https://loremflickr.com/400/400/dumbbell?lock=501
Pro Yoga Mat,Non-slip eco-friendly yoga mat,35.00,80,https://loremflickr.com/400/400/yogamat?lock=502
Folding Treadmill,Space-saving folding treadmill for home gym,450.00,15,https://loremflickr.com/400/400/treadmill?lock=503
Official Football,Official size and weight leather football,25.99,60,https://loremflickr.com/400/400/football?lock=504
Indoor Basketball,Premium grip indoor composite basketball,30.00,50,https://loremflickr.com/400/400/basketball?lock=505
Tennis Racket,Lightweight carbon fiber tennis racket,89.50,35,https://loremflickr.com/400/400/tennisracket?lock=506
Speed Jump Rope,Adjustable speed jump rope for cardio,12.99,150,https://loremflickr.com/400/400/jumprope?lock=507
Insulated Water Bottle,Stainless steel 32oz insulated water bottle,22.00,100,https://loremflickr.com/400/400/waterbottle?lock=508
Boxing Gloves,14oz synthetic leather training boxing gloves,45.00,40,https://loremflickr.com/400/400/boxinggloves?lock=509
Running Shoes,High-performance marathon running shoes,110.00,45,https://loremflickr.com/400/400/runningshoes?lock=510
